Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/events,9371,1,9,25.878217383309213,1.5543330227956176,735.7595830108039,3512.6917084622773,93.60602048821995,0.009988904117833737,9,14,20,26,57,110,210,280,500,740,740
GET,/health,13725,1,8,23.350407963407434,1.051125000230968,650.204042030964,16.010273224043715,137.09770901726804,0.009988904117833737,8,12,17,23,53,100,220,270,440,630,650
POST,/urls [create],12918,6,30,55.70307359575701,3.039625007659197,3511.459624976851,231.35562780616195,129.03666339417623,0.05993342470700243,30,53,70,82,120,210,290,330,540,3400,3500
GET,/urls [list],27259,10,10,26.74604160210215,1.460583007428795,3516.137874976266,2533.6240874573537,272.28753734802984,0.09988904117833738,10,15,21,27,61,120,220,280,490,670,3500
GET,/urls/<id> [get],22643,0,8,25.027403125192855,1.0954999597743154,698.4537080279551,231.31683080863843,226.17875594010934,0.0,8,13,19,25,58,120,220,280,500,630,700
PUT,/urls/<id> [update],17962,0,19,39.430854283737276,4.013583005871624,3010.5378340231255,233.87506959135953,179.4206957645296,0.0,19,28,38,47,86,150,250,310,510,2800,3000
POST,/users [create],8671,24,55,82.64066016293135,2.5456250295974314,3082.1298750233836,124.72044746857341,86.61378760573635,0.2397336988280097,55,80,98,110,170,250,370,1000,1200,3100,3100
GET,/users [list],22823,2,9,25.888770301339786,1.3539589708670974,647.7827500202693,3252.8704815317883,227.9767586813194,0.019977808235667475,9,14,20,26,62,110,210,270,450,630,650
GET,/users/<id> [get],18163,0,8,24.763769207597445,1.0955000179819763,3656.7890830338,124.28695700049552,181.42846549221417,0.0,8,12,18,24,56,110,220,280,480,700,3700
PUT,/users/<id> [update],13553,0,17,36.88671105402704,2.824749972205609,702.7865839772858,124.69069578691065,135.37961750900064,0.0,17,25,35,44,82,150,250,300,530,650,700
,Aggregated,167088,44,12,33.17850937613567,1.051125000230968,3656.7890830338,1160.451546490472,1669.0260112406036,0.4395117811846845,12,20,29,40,82,140,240,300,590,1100,3700
